iter	RMSE
349	56.25101843
350	56.24252961
351	56.23294737
352	56.22196126
353	56.21893709
354	56.18203461
355	56.16730683
356	56.14823728
357	56.14488954
358	56.14225504
359	56.12967666
360	56.11787598
361	56.11560645
362	56.09764132
363	56.0892358
364	56.07905522
365	56.04581857
366	56.03443515
367	56.03165779
368	56.02810066
369	56.02594034
370	56.01963576
371	55.98636238
372	55.97912697
373	55.97698314
374	55.94850575
375	55.93306247
376	55.8987371
377	55.87113512
378	55.83843955
379	55.82129949
380	55.79014782
381	55.78203618
382	55.77924276
383	55.77173336
384	55.75797211
385	55.75527231
386	55.75284926
387	55.74834048
388	55.74565841
389	55.7417183
390	55.71243828
391	55.70534357
392	55.70339227
393	55.69670751
394	55.67434197
395	55.67122434
396	55.6686717
397	55.63686036
398	55.6154787
399	55.59148546
400	55.56073283
401	55.53316546
402	55.53160029
403	55.52308695
404	55.4938243
405	55.4890047
406	55.47429827
407	55.47146392
408	55.46673626
409	55.46437616
410	55.43649073
411	55.42077426
412	55.41824183
413	55.41684049
414	55.39026411
415	55.38792316
416	55.38547405
417	55.37819626
418	55.36524462
419	55.34966417
420	55.34518846
421	55.33869189
422	55.33671197
423	55.33498414
424	55.33270972
425	55.31151275
426	55.29887884
427	55.26944658
428	55.26770631
429	55.26574885
430	55.25933882
431	55.25449797
432	55.24179315
433	55.23850883
434	55.23022947
435	55.22885912
436	55.22679867
437	55.2225469
438	55.21659597
439	55.21458976
440	55.1980874
441	55.19691212
442	55.17399465
443	55.16600194
444	55.16443049
445	55.16304466
446	55.13991646
447	55.13778829
448	55.127764
449	55.11925905
450	55.10848383
451	55.09612693
452	55.09265797
453	55.07852055
454	55.07437396
455	55.06576863
456	55.06414181
457	55.05762647
458	55.05256932
459	55.03012569
460	55.00283384
461	54.97887668
462	54.95734621
463	54.95533428
464	54.94347419
465	54.94192573
466	54.93780277
467	54.91664723
468	54.89800431
469	54.88989118
470	54.88085351
471	54.87795133
472	54.87593383
473	54.87415765
474	54.86899071
475	54.86672641
476	54.84394814
477	54.83306036
478	54.82073561
479	54.79913034
480	54.78420136
481	54.77164705
482	54.76997714
483	54.76616578
484	54.74960922
485	54.73846507
486	54.71553436
487	54.70913142
488	54.70154487
489	54.69651523
490	54.67644561
491	54.65740593
492	54.65616833
493	54.64880046
494	54.64736252
495	54.64358713
496	54.64179083
497	54.64019173
498	54.63863868
499	54.63785424
500	54.63683026
501	54.62298784
502	54.61701406
503	54.61360878
504	54.61224255
505	54.61066277
506	54.60670289
507	54.59296328
508	54.59127141
509	54.58208698
510	54.5673072
511	54.54823832
512	54.54524389
513	54.53824211
514	54.53504753
515	54.53376726
516	54.53095415
517	54.5298216
518	54.51655602
519	54.51510877
520	54.51407754
521	54.51225993
522	54.51146257
523	54.51015998
524	54.50857245
525	54.48094356
526	54.46918173
527	54.45861636
528	54.4553104
529	54.45226484
530	54.45107527
531	54.43693562
532	54.42167857
533	54.42046082
534	54.41997866
535	54.39382962
536	54.3910912
537	54.3768312
538	54.37490917
539	54.36073475
540	54.35798836
541	54.34437687
542	54.33265848
543	54.33136599
544	54.30672051
545	54.29180631
546	54.28782327
547	54.28665644
548	54.28427429
549	54.27367615
550	54.26235851
551	54.26124331
552	54.24978109
553	54.22579211
554	54.21494749
555	54.19093471
556	54.18360276
557	54.17363115
558	54.17254695
559	54.16288576
560	54.16187757
561	54.14714189
562	54.12972093
563	54.12489802
564	54.12236498
565	54.12137294
566	54.11745623
567	54.11411854
568	54.0944318
569	54.09204062
